lc_words	count
federal election campaign act of 1971 to provide for a voluntary system of spending limits	3
file a report	3
following new section	3
following new subparagraph	3
following new subsections	3
following the date	3
fund established and maintained	2
fund established and maintained	1
fund established and maintained by a state	2
fund established and maintained by a state	1
fund established and maintained by a state committee	2
fund established and maintained by a state committee	1
fund established and maintained by a state committee of a political party	2
fund established and maintained by a state committee of a political party	1
general election candidate	3
generic campaign	3
generic campaign activity	3
get-out-the-vote activities	3
get-out-the-vote activity	3
harm or prejudice	3
harm or prejudice to the interests	3
hours of the commission	3
house of representatives and the secretary	3
house of representatives and the secretary of the senate	3
house of representatives campaign	2
house of representatives campaign	1
identified	3
immediate family	3
included	3
includes	3
including a political committee	3
increase in the price	3
increase in the price index	3
increase in the price index determined	3
increase in the price index determined under section	3
increase in the price index determined under section 315	3
independent	3
independent expenditure is	3
index	3
index determined	3
index determined under section	3
index determined under section 315	3
indexing	3
indices	3
individual holding	3
individual holding federal	3
individual holding federal office	3
initiative committee shall comply	3
initiative contributions	3
initiative expenditures	3
injunction	2
injunction	1
inserting in lieu	3
intended	3
interests	3
introduced	2
introduced	1
is about	3
is conducted	3
is in support	3
is occurring	3
is provided	3
is seeking	3
is undertaken	3
issuance	3
issues	3
judiciary	3
limitation under subsection -lrb- a -rrb- or subsection	3
limitation under subsection -lrb- a -rrb- or subsection -lrb- b -rrb-	3
limitations under this section	3
limits and benefits	3
limits and benefits for congressional election	3
limits and benefits for congressional election campaigns	3
loans	3
lobbying contacts	3
local committees	3
local committees of political parties	3
local party	3
made by any person	3
maintain	2
maintain	1
maintained by a state committee of a political party in any calendar	2
maintained by a state committee of a political party in any calendar	1
maintained by a state committee of a political party in any calendar year	2
maintained by a state committee of a political party in any calendar year	1
make democracy work	2
make democracy work	1
make democracy work election	2
make democracy work election	1
